,Species,Age,Length
126,Clupea harengus,2,209.0014657
127,Clupea harengus,3,241.2147716
128,Clupea harengus,4,259.5481928
129,Clupea harengus,5,271.4325843
130,Clupea harengus,6,284.1428571
131,Clupea harengus,7,301.25
132,Clupea harengus,8,305.9090909
133,Clupea harengus,9,317.5
134,Clupea harengus,10,320
135,Clupea harengus,1,142.3444053
136,Clupea harengus,2,216.4639037
137,Clupea harengus,3,246.5563506
138,Clupea harengus,4,259.7337963
139,Clupea harengus,5,271.4869888
140,Clupea harengus,6,282.875
141,Clupea harengus,7,294.7142857
142,Clupea harengus,8,300.25
143,Clupea harengus,9,314.375
144,Clupea harengus,10,312.5
145,Clupea harengus,1,153.6747788
146,Clupea harengus,2,212.1953255
147,Clupea harengus,3,257.2717149
148,Clupea harengus,4,272.4444444
149,Clupea harengus,5,283.7727273
150,Clupea harengus,6,288.5329341
151,Clupea harengus,7,298.5
152,Clupea harengus,8,315.7142857
153,Clupea harengus,9,312.2727273
154,Clupea harengus,10,312.5
155,Clupea harengus,11,310
156,Clupea harengus,12,330
157,Clupea harengus,1,147.6756986
158,Clupea harengus,2,216.0534274
159,Clupea harengus,3,248.4934498
160,Clupea harengus,4,278.6304348
161,Clupea harengus,5,285.3937008
162,Clupea harengus,6,291.9594595
163,Clupea harengus,7,300.6451613
164,Clupea harengus,8,310
165,Clupea harengus,9,314.75
166,Clupea harengus,10,313.3333333
167,Clupea harengus,11,360
168,Clupea harengus,1,151.0387812
169,Clupea harengus,2,211.1760966
170,Clupea harengus,3,251.655914
171,Clupea harengus,4,272.5899281
172,Clupea harengus,5,284.921875
173,Clupea harengus,6,288.6904762
174,Clupea harengus,7,296.5625
175,Clupea harengus,8,297.5
176,Clupea harengus,9,293.3333333
177,Clupea harengus,10,310
178,Clupea harengus,1,143.3540373
179,Clupea harengus,2,216.1161972
180,Clupea harengus,3,255.9885057
181,Clupea harengus,4,273.6024845
182,Clupea harengus,5,280.8163265
183,Clupea harengus,6,292.5
184,Clupea harengus,7,305
185,Clupea harengus,8,307
186,Clupea harengus,9,304.4444444
187,Clupea harengus,12,320
188,Clupea harengus,1,144.2146705
189,Clupea harengus,2,208.8716502
190,Clupea harengus,3,253.5916542
191,Clupea harengus,4,269.7619048
192,Clupea harengus,5,285.959596
193,Clupea harengus,6,290.7142857
194,Clupea harengus,7,308.1578947
195,Clupea harengus,8,305
196,Clupea harengus,9,313.1818182
197,Clupea harengus,10,305
198,Clupea harengus,11,321.6666667
199,Clupea harengus,12,335
200,Clupea harengus,13,335
201,Clupea harengus,14,345
202,Clupea harengus,1,135.9526854
203,Clupea harengus,2,189.1666667
204,Clupea harengus,3,235.0073964
205,Clupea harengus,4,262.3478261
206,Clupea harengus,5,274.9270073
207,Clupea harengus,6,290
208,Clupea harengus,7,295.1724138
209,Clupea harengus,8,302.7777778
210,Clupea harengus,9,317.173913
211,Clupea harengus,10,310
212,Clupea harengus,11,310
213,Clupea harengus,12,340
214,Clupea harengus,1,147.0329963
215,Clupea harengus,2,206.7799114
216,Clupea harengus,3,246.9585253
217,Clupea harengus,4,265.7421875
218,Clupea harengus,5,281.5533981
219,Clupea harengus,6,289.609375
220,Clupea harengus,7,295.862069
221,Clupea harengus,8,311.5
222,Clupea harengus,9,305
223,Clupea harengus,10,314.5
224,Clupea harengus,11,315.5
225,Clupea harengus,12,315
226,Clupea harengus,1,153.0334833
227,Clupea harengus,2,211.3724138
228,Clupea harengus,3,248.0491474
229,Clupea harengus,4,264.8510638
230,Clupea harengus,5,277.5824176
231,Clupea harengus,6,290.3448276
232,Clupea harengus,7,307.1052632
233,Clupea harengus,8,311.25
234,Clupea harengus,9,297.5
235,Clupea harengus,11,330
236,Clupea harengus,13,315
237,Clupea harengus,1,145.9877049
238,Clupea harengus,2,206.3621123
239,Clupea harengus,3,245.0506073
240,Clupea harengus,4,266.2731481
241,Clupea harengus,5,280.7258065
242,Clupea harengus,6,296.7741935
243,Clupea harengus,7,295
244,Clupea harengus,8,301.25
245,Clupea harengus,9,315
246,Clupea harengus,1,148.5837793
247,Clupea harengus,2,209.0555556
248,Clupea harengus,3,243.5387674
249,Clupea harengus,4,264.347079
250,Clupea harengus,5,277.0807453
251,Clupea harengus,6,285.5263158
252,Clupea harengus,7,292.6666667
253,Clupea harengus,8,301.9230769
254,Clupea harengus,9,314.5
255,Clupea harengus,11,310
256,Clupea harengus,1,146.9461078
257,Clupea harengus,2,215.7187678
258,Clupea harengus,3,242.9768271
259,Clupea harengus,4,265.9390863
260,Clupea harengus,5,277
261,Clupea harengus,6,284.8888889
262,Clupea harengus,7,295.5882353
263,Clupea harengus,8,306.25
264,Clupea harengus,9,308.1818182
265,Clupea harengus,10,305
266,Clupea harengus,11,310
267,Clupea harengus,1,142.870603
268,Clupea harengus,2,198.6908253
269,Clupea harengus,3,241.016791
270,Clupea harengus,4,263.6792453
271,Clupea harengus,5,278.25
272,Clupea harengus,6,285.7971014
273,Clupea harengus,7,294.7368421
274,Clupea harengus,8,296.6666667
275,Clupea harengus,9,310
276,Clupea harengus,10,307.5
277,Clupea harengus,1,145.8062376
278,Clupea harengus,2,203.2001466
279,Clupea harengus,3,236.2546642
280,Clupea harengus,4,266.2025316
281,Clupea harengus,5,276.0989011
282,Clupea harengus,6,299.7826087
283,Clupea harengus,7,293.6538462
284,Clupea harengus,8,304.4736842
285,Clupea harengus,9,301.25
286,Clupea harengus,11,321.6666667
287,Clupea harengus,12,350
288,Clupea harengus,13,325
289,Clupea harengus,1,148.2280299
290,Clupea harengus,2,206.752451
291,Clupea harengus,3,245.4964539
292,Clupea harengus,4,261.2334218
293,Clupea harengus,5,282.8448276
294,Clupea harengus,6,287.9927007
295,Clupea harengus,7,304.2647059
296,Clupea harengus,8,291.6666667
297,Clupea harengus,9,301.3043478
298,Clupea harengus,10,307.5
299,Clupea harengus,11,310
300,Clupea harengus,12,305
301,Clupea harengus,1,150.9110042
302,Clupea harengus,2,209.4465291
303,Clupea harengus,3,248.3386076
304,Clupea harengus,4,266.2647059
305,Clupea harengus,5,278.643617
306,Clupea harengus,6,291.6666667
307,Clupea harengus,7,297.4025974
308,Clupea harengus,8,320.5882353
309,Clupea harengus,9,309.0909091
310,Clupea harengus,10,302.5
311,Clupea harengus,11,330
312,Clupea harengus,12,315
313,Clupea harengus,1,144.4575604
314,Clupea harengus,2,211.2147239
315,Clupea harengus,3,246.4358974
316,Clupea harengus,4,262.8448276
317,Clupea harengus,5,279.6078431
318,Clupea harengus,6,289.939759
319,Clupea harengus,7,303.8157895
320,Clupea harengus,8,306.8181818
321,Clupea harengus,9,318.3333333
322,Clupea harengus,10,302
323,Clupea harengus,11,306.875
324,Clupea harengus,13,320
325,Clupea harengus,1,153.4755332
326,Clupea harengus,2,220.5498008
327,Clupea harengus,3,246.7811705
328,Clupea harengus,4,262.2468354
329,Clupea harengus,5,274.8882682
330,Clupea harengus,6,296.1304348
331,Clupea harengus,7,290.0510204
332,Clupea harengus,8,304.5967742
333,Clupea harengus,9,310.1612903
334,Clupea harengus,10,309.4117647
335,Clupea harengus,11,312.5
336,Clupea harengus,12,303.3333333
337,Clupea harengus,13,315
338,Clupea harengus,1,147.5701944
339,Clupea harengus,2,219.0222652
340,Clupea harengus,3,254.3493151
341,Clupea harengus,4,271.4338235
342,Clupea harengus,5,281.3333333
343,Clupea harengus,6,289.2105263
344,Clupea harengus,7,293.2417582
345,Clupea harengus,8,296.8947368
346,Clupea harengus,9,302.9545455
347,Clupea harengus,10,304.6666667
348,Clupea harengus,11,318
349,Clupea harengus,14,315
350,Clupea harengus,1,146.4265669
351,Clupea harengus,2,213.9774859
352,Clupea harengus,3,257.5280899
353,Clupea harengus,4,278.7321429
354,Clupea harengus,5,291.942446
355,Clupea harengus,6,306.7283951
356,Clupea harengus,7,319.2142857
357,Clupea harengus,8,319.125
358,Clupea harengus,9,315.3846154
359,Clupea harengus,10,323.2352941
360,Clupea harengus,11,324.3243243
361,Clupea harengus,12,326.6666667
362,Clupea harengus,13,333
363,Clupea harengus,14,327.1428571
364,Clupea harengus,15,350
365,Clupea harengus,1,141.7709411
366,Clupea harengus,2,215.6364537
367,Clupea harengus,3,253.392555
368,Clupea harengus,4,273.9728682
369,Clupea harengus,5,288.5839161
370,Clupea harengus,6,297.1052632
371,Clupea harengus,7,309.3220339
372,Clupea harengus,8,315.7954545
373,Clupea harengus,9,312.3275862
374,Clupea harengus,10,318
375,Clupea harengus,11,321.9148936
376,Clupea harengus,12,330.9375
377,Clupea harengus,13,321.25
378,Clupea harengus,1,146.008596
379,Clupea harengus,2,204.3225986
380,Clupea harengus,3,254.7346369
381,Clupea harengus,4,267.9639175
382,Clupea harengus,5,286.6551724
383,Clupea harengus,6,296.2676056
384,Clupea harengus,7,305
385,Clupea harengus,8,313.9285714
386,Clupea harengus,9,302.6923077
387,Clupea harengus,10,309.3877551
388,Clupea harengus,11,315
389,Clupea harengus,12,331.6666667
390,Clupea harengus,13,325
391,Clupea harengus,14,320
392,Clupea harengus,1,149.2700946
393,Clupea harengus,2,211.3131628
394,Clupea harengus,3,246.8218859
395,Clupea harengus,4,274.2247191
396,Clupea harengus,5,283.8380282
397,Clupea harengus,6,295.8333333
398,Clupea harengus,7,302.2222222
399,Clupea harengus,8,309.2857143
400,Clupea harengus,9,311.1538462
401,Clupea harengus,10,314.2857143
402,Clupea harengus,11,314.3055556
403,Clupea harengus,12,317.6666667
404,Clupea harengus,13,328
405,Clupea harengus,14,337.5
406,Clupea harengus,15,335
407,Clupea harengus,17,355
408,Clupea harengus,1,139.0161597
409,Clupea harengus,2,209.9146625
410,Clupea harengus,3,249.6907216
411,Clupea harengus,4,264.4190871
412,Clupea harengus,5,285.9139785
413,Clupea harengus,6,290.8035714
414,Clupea harengus,7,298.5714286
415,Clupea harengus,8,302.0967742
416,Clupea harengus,9,305.7894737
417,Clupea harengus,10,305
418,Clupea harengus,11,309.6153846
419,Clupea harengus,12,318.5
420,Clupea harengus,13,333.3333333
421,Clupea harengus,16,325
422,Clupea harengus,1,135.7885582
423,Clupea harengus,2,207.7996716
424,Clupea harengus,3,248.359375
425,Clupea harengus,4,269.0950226
426,Clupea harengus,5,285.6188119
427,Clupea harengus,6,299.3316832
428,Clupea harengus,7,302.1428571
429,Clupea harengus,8,309.0322581
430,Clupea harengus,9,310.4054054
431,Clupea harengus,10,313.4375
432,Clupea harengus,11,305
433,Clupea harengus,12,316.6666667
434,Clupea harengus,13,313.1578947
435,Clupea harengus,14,320.8333333
436,Clupea harengus,1,130.8494475
437,Clupea harengus,2,196.1140467
438,Clupea harengus,3,242.5127421
439,Clupea harengus,4,257.4110672
440,Clupea harengus,5,276.4814815
441,Clupea harengus,6,285.7936508
442,Clupea harengus,7,293.1176471
443,Clupea harengus,8,303.6538462
444,Clupea harengus,9,298.0555556
445,Clupea harengus,10,315
446,Clupea harengus,11,308
447,Clupea harengus,12,295
448,Clupea harengus,13,330
449,Clupea harengus,14,305
450,Clupea harengus,1,136.4871677
451,Clupea harengus,2,198.4035656
452,Clupea harengus,3,241.2589357
453,Clupea harengus,4,266.7641509
454,Clupea harengus,5,277.2121212
455,Clupea harengus,6,290.4054054
456,Clupea harengus,7,298.0519481
457,Clupea harengus,8,301.1956522
458,Clupea harengus,9,303.5714286
459,Clupea harengus,10,300
460,Clupea harengus,11,310.9090909
461,Clupea harengus,12,320
462,Clupea harengus,13,311.6666667
463,Clupea harengus,14,345
464,Clupea harengus,1,134.712056
465,Clupea harengus,2,203.0256593
466,Clupea harengus,3,236.5536723
467,Clupea harengus,4,261.6688482
468,Clupea harengus,5,278.5106383
469,Clupea harengus,6,285.8333333
470,Clupea harengus,7,298.3
471,Clupea harengus,8,303.0357143
472,Clupea harengus,9,298.125
473,Clupea harengus,10,305.7142857
474,Clupea harengus,12,305
475,Clupea harengus,1,141.971792
476,Clupea harengus,2,203.4936575
477,Clupea harengus,3,236.9763514
478,Clupea harengus,4,255.75
479,Clupea harengus,5,275.1176471
480,Clupea harengus,6,287.1802326
481,Clupea harengus,7,290.9821429
482,Clupea harengus,8,299.3939394
483,Clupea harengus,9,301.8181818
484,Clupea harengus,10,302
485,Clupea harengus,11,309
486,Clupea harengus,12,315
487,Clupea harengus,13,310
488,Clupea harengus,1,136.7298228
489,Clupea harengus,2,199.7787899
490,Clupea harengus,3,240.8386076
491,Clupea harengus,4,256.5079365
492,Clupea harengus,5,272.7884615
493,Clupea harengus,6,283.6328125
494,Clupea harengus,7,295.1111111
495,Clupea harengus,8,300
496,Clupea harengus,9,303.1481481
497,Clupea harengus,10,310.2272727
498,Clupea harengus,11,309.5454545
499,Clupea harengus,12,310
500,Clupea harengus,13,317
501,Clupea harengus,14,326.6666667
502,Clupea harengus,1,143.6169419
503,Clupea harengus,2,207.0925808
504,Clupea harengus,3,245.332838
505,Clupea harengus,4,261.1975309
506,Clupea harengus,5,284.4649123
507,Clupea harengus,6,280.6481481
508,Clupea harengus,7,288.853211
509,Clupea harengus,8,293.2089552
510,Clupea harengus,9,310
511,Clupea harengus,10,308.8888889
512,Clupea harengus,11,309.2857143
513,Clupea harengus,12,315
514,Clupea harengus,13,340
515,Clupea harengus,15,337.5
516,Gadus morhua,1,175.0121753
517,Gadus morhua,2,347.7069351
518,Gadus morhua,3,511.5964523
519,Gadus morhua,4,671.7307692
520,Gadus morhua,5,831.6494845
521,Gadus morhua,6,925.8823529
522,Gadus morhua,7,996.1904762
523,Gadus morhua,8,957
524,Gadus morhua,9,1185
525,Gadus morhua,11,1125
526,Gadus morhua,12,1220
527,Gadus morhua,1,188.6138614
528,Gadus morhua,2,357.7367326
529,Gadus morhua,3,512.0197044
530,Gadus morhua,4,722.629108
531,Gadus morhua,5,842.4358974
532,Gadus morhua,6,976.1666667
533,Gadus morhua,7,972.2222222
534,Gadus morhua,8,1060.5
535,Gadus morhua,9,1083.333333
536,Gadus morhua,12,1150
537,Gadus morhua,16,1180
538,Gadus morhua,1,212.0404412
539,Gadus morhua,2,369.1474654
540,Gadus morhua,3,566.1052632
541,Gadus morhua,4,703.7068966
542,Gadus morhua,5,861.8285714
543,Gadus morhua,6,984.0425532
544,Gadus morhua,7,1048
545,Gadus morhua,8,1031.818182
546,Gadus morhua,9,1057.142857
547,Gadus morhua,11,1100
548,Gadus morhua,1,198.6095506
549,Gadus morhua,2,372.4447514
550,Gadus morhua,3,559.7494033
551,Gadus morhua,4,727.9827586
552,Gadus morhua,5,818.96
553,Gadus morhua,6,949.2753623
554,Gadus morhua,7,970.5405405
555,Gadus morhua,8,1087.272727
556,Gadus morhua,9,1105.555556
557,Gadus morhua,10,936.6666667
558,Gadus morhua,11,1040
559,Gadus morhua,1,188.2631579
560,Gadus morhua,2,322.3339731
561,Gadus morhua,3,523.7515078
562,Gadus morhua,4,682.3230088
563,Gadus morhua,5,808.4307692
564,Gadus morhua,6,926.1165049
565,Gadus morhua,7,939.6875
566,Gadus morhua,8,1003.076923
567,Gadus morhua,9,1055
568,Gadus morhua,10,1156.666667
569,Gadus morhua,11,1140
570,Gadus morhua,12,1160
571,Gadus morhua,1,205.2230216
572,Gadus morhua,2,389.5568562
573,Gadus morhua,3,503.0632911
574,Gadus morhua,4,670.71875
575,Gadus morhua,5,793.3333333
576,Gadus morhua,6,937.6571429
577,Gadus morhua,7,985
578,Gadus morhua,8,1008.888889
579,Gadus morhua,9,1027.5
580,Gadus morhua,10,1250
581,Gadus morhua,12,1210
582,Gadus morhua,1,128.0378525
583,Gadus morhua,2,346.9770019
584,Gadus morhua,3,531.6641452
585,Gadus morhua,4,695.1029748
586,Gadus morhua,5,827.0351759
587,Gadus morhua,6,938.3406114
588,Gadus morhua,7,947.7884615
589,Gadus morhua,8,971.875
590,Gadus morhua,9,1015.882353
591,Gadus morhua,10,1050
592,Gadus morhua,11,993.3333333
593,Gadus morhua,1,142.6957114
594,Gadus morhua,2,315.6862745
595,Gadus morhua,3,524.7196796
596,Gadus morhua,4,642.1875
597,Gadus morhua,5,797.5565611
598,Gadus morhua,6,869.2063492
599,Gadus morhua,7,873.7179487
600,Gadus morhua,8,895.1351351
601,Gadus morhua,9,999.4736842
602,Gadus morhua,10,968.4615385
603,Gadus morhua,11,994
604,Gadus morhua,15,1140
605,Gadus morhua,1,117.0936396
606,Gadus morhua,2,320.522541
607,Gadus morhua,3,505.6160458
608,Gadus morhua,4,687.1857923
609,Gadus morhua,5,800.2112676
610,Gadus morhua,6,945.1832461
611,Gadus morhua,7,962.9268293
612,Gadus morhua,8,991.6666667
613,Gadus morhua,9,1022.962963
614,Gadus morhua,10,1068
615,Gadus morhua,11,1000
616,Gadus morhua,15,1250
617,Gadus morhua,1,152.0812317
618,Gadus morhua,2,306.5966102
619,Gadus morhua,3,492.1192053
620,Gadus morhua,4,642.764613
621,Gadus morhua,5,776.7610063
622,Gadus morhua,6,888.9634146
623,Gadus morhua,7,943.2835821
624,Gadus morhua,8,969.5652174
625,Gadus morhua,9,1027.931034
626,Gadus morhua,10,1081.666667
627,Gadus morhua,11,1090
628,Gadus morhua,1,130.8927203
629,Gadus morhua,2,318.5913453
630,Gadus morhua,3,452.1231423
631,Gadus morhua,4,638.2835821
632,Gadus morhua,5,715.8461538
633,Gadus morhua,6,908.7700535
634,Gadus morhua,7,953.7142857
635,Gadus morhua,8,1013.333333
636,Gadus morhua,9,1065
637,Gadus morhua,10,1110
638,Gadus morhua,11,1165
639,Gadus morhua,12,1200
640,Gadus morhua,1,137.5336641
641,Gadus morhua,2,318.7149656
642,Gadus morhua,3,497.2193347
643,Gadus morhua,4,591.3595166
644,Gadus morhua,5,779.9215686
645,Gadus morhua,6,910.9493671
646,Gadus morhua,7,918.4313725
647,Gadus morhua,8,968.0952381
648,Gadus morhua,9,1071.25
649,Gadus morhua,10,1095
650,Gadus morhua,11,1123.333333
651,Gadus morhua,14,1310
652,Gadus morhua,1,144.6819788
653,Gadus morhua,2,317.2617247
654,Gadus morhua,3,465.4708904
655,Gadus morhua,4,610.1897019
656,Gadus morhua,5,720.8196721
657,Gadus morhua,6,928.2795699
658,Gadus morhua,7,959.0740741
659,Gadus morhua,8,997.8571429
660,Gadus morhua,9,1071.25
661,Gadus morhua,10,1128.333333
662,Gadus morhua,11,1180
663,Gadus morhua,1,135.6663016
664,Gadus morhua,2,324.8679245
665,Gadus morhua,3,507.4235105
666,Gadus morhua,4,640.669145
667,Gadus morhua,5,782.8151261
668,Gadus morhua,6,911.6666667
669,Gadus morhua,7,975.9016393
670,Gadus morhua,8,1003.5
671,Gadus morhua,9,1048.333333
672,Gadus morhua,10,1066.666667
673,Gadus morhua,11,1100
674,Gadus morhua,13,1315
675,Gadus morhua,1,120.7935154
676,Gadus morhua,2,319.8467153
677,Gadus morhua,3,489.3220339
678,Gadus morhua,4,637.6415094
679,Gadus morhua,5,747.247191
680,Gadus morhua,6,902.9299363
681,Gadus morhua,7,913.3333333
682,Gadus morhua,8,1036.176471
683,Gadus morhua,9,1044
684,Gadus morhua,10,1105
685,Gadus morhua,11,1135
686,Gadus morhua,12,1235
687,Gadus morhua,1,149.5250737
688,Gadus morhua,2,328.0665519
689,Gadus morhua,3,489.4483568
690,Gadus morhua,4,724.380531
691,Gadus morhua,5,811.3483146
692,Gadus morhua,6,931.7021277
693,Gadus morhua,7,949.6363636
694,Gadus morhua,8,961
695,Gadus morhua,9,1071.818182
696,Gadus morhua,10,1070
697,Gadus morhua,11,1075
698,Gadus morhua,1,120.2209254
699,Gadus morhua,2,318.6948052
700,Gadus morhua,3,516.2615385
701,Gadus morhua,4,619.4594595
702,Gadus morhua,5,818.8590604
703,Gadus morhua,6,950
704,Gadus morhua,7,997.0588235
705,Gadus morhua,8,972.1052632
706,Gadus morhua,9,1051.666667
707,Gadus morhua,10,1110
708,Gadus morhua,11,1010
709,Gadus morhua,1,130.8446671
710,Gadus morhua,2,301.9705434
711,Gadus morhua,3,478.9363636
712,Gadus morhua,4,684.5112782
713,Gadus morhua,5,792.364532
714,Gadus morhua,6,954.9295775
715,Gadus morhua,7,1007.777778
716,Gadus morhua,8,1015.333333
717,Gadus morhua,9,1004
718,Gadus morhua,10,1100
719,Gadus morhua,11,1090
720,Gadus morhua,1,132.2640857
721,Gadus morhua,2,311.0341526
722,Gadus morhua,3,480.0649351
723,Gadus morhua,4,621.6129032
724,Gadus morhua,5,744.3478261
725,Gadus morhua,6,877.2972973
726,Gadus morhua,7,1022.105263
727,Gadus morhua,8,1060
728,Gadus morhua,9,1082.5
729,Gadus morhua,10,1047.5
730,Gadus morhua,1,161.3442623
731,Gadus morhua,2,333.2853899
732,Gadus morhua,3,489.9428571
733,Gadus morhua,4,631.3793103
734,Gadus morhua,5,782.7927928
735,Gadus morhua,6,890.6818182
736,Gadus morhua,7,972.5
737,Gadus morhua,8,1028.571429
738,Gadus morhua,9,1150
739,Gadus morhua,10,1250
740,Gadus morhua,11,1400
741,Gadus morhua,1,167.3359148
742,Gadus morhua,2,312.7676301
743,Gadus morhua,3,484.3993994
744,Gadus morhua,4,667.8097345
745,Gadus morhua,5,785.8554217
746,Gadus morhua,6,891.4705882
747,Gadus morhua,7,992.0833333
748,Gadus morhua,8,1067.5
749,Gadus morhua,9,1035
750,Gadus morhua,10,1040
751,Gadus morhua,1,202.2081218
752,Gadus morhua,2,322.8834573
753,Gadus morhua,3,478.52194
754,Gadus morhua,4,638.5813149
755,Gadus morhua,5,799.5652174
756,Gadus morhua,6,894.2857143
757,Gadus morhua,7,999.375
758,Gadus morhua,8,1020
759,Gadus morhua,9,1065
760,Gadus morhua,10,1260
761,Gadus morhua,1,188.8461538
762,Gadus morhua,2,318.6528497
763,Gadus morhua,3,431.6837945
764,Gadus morhua,4,608.2442748
765,Gadus morhua,5,770.3125
766,Gadus morhua,6,907.7777778
767,Gadus morhua,7,960.4166667
768,Gadus morhua,8,1028.125
769,Gadus morhua,9,1145.714286
770,Gadus morhua,10,1080
771,Gadus morhua,1,180.8772414
772,Gadus morhua,2,334.8974359
773,Gadus morhua,3,470.1490909
774,Gadus morhua,4,605.767313
775,Gadus morhua,5,733.1666667
776,Gadus morhua,6,840.2857143
777,Gadus morhua,7,950.28
778,Gadus morhua,8,1015.818182
779,Gadus morhua,9,1104.5
780,Gadus morhua,10,970
781,Gadus morhua,13,1190
782,Gadus morhua,1,224.7913978
783,Gadus morhua,2,319.2295633
784,Gadus morhua,3,475.983871
785,Gadus morhua,4,624.3541667
786,Gadus morhua,5,764.75
787,Gadus morhua,6,833.7894737
788,Gadus morhua,7,914
789,Gadus morhua,8,1013.333333
790,Gadus morhua,9,1030
791,Gadus morhua,10,953
792,Gadus morhua,12,1110
793,Gadus morhua,13,966
794,Gadus morhua,1,192.2522202
795,Gadus morhua,2,325.7785349
796,Gadus morhua,3,462.3985612
797,Gadus morhua,4,649.0403587
798,Gadus morhua,5,754.4615385
799,Gadus morhua,6,908.9714286
800,Gadus morhua,7,965.25
801,Gadus morhua,8,1085
802,Gadus morhua,9,1030
803,Gadus morhua,1,186.4818182
804,Gadus morhua,2,346.356599
805,Gadus morhua,3,453.6411483
806,Gadus morhua,4,613.5228426
807,Gadus morhua,5,758.6666667
808,Gadus morhua,6,873.1333333
809,Gadus morhua,7,947.5
810,Gadus morhua,8,1017.714286
811,Gadus morhua,9,1160
812,Gadus morhua,10,1120
813,Gadus morhua,1,187.462585
814,Gadus morhua,2,315.3245033
815,Gadus morhua,3,498.9576923
816,Gadus morhua,4,638.7716535
817,Gadus morhua,5,770.71
818,Gadus morhua,6,824.38
819,Gadus morhua,7,940
820,Gadus morhua,8,1017.5
821,Gadus morhua,9,1095
